Timesync, Reply_symmetric-based, Reply_switchdelaybased, Reply_2probebased, inter-packet-switch-arrival,  interpacket_clientdelay, Switch_reply_delay 
293, 7212.000000, 7359.000000, 15237.000000, 1104, 958, 293
294, 2424.000000, 2571.000000, -4294960621.000000, 1324, 1575, 293
295, 8664.000000, 8812.000000, 5998.000000, 13212, 941, 296
296, 8675.000000, 8823.000000, 5887.000000, 13212, 874, 296
297, 8721.000000, 8869.000000, 5925.000000, 13266, 874, 295
298, 7241.000000, 7389.000000, 15152.000000, 1086, 878, 296
299, 9188.000000, 9337.000000, 19122.000000, 1142, 944, 299
300, 8704.000000, 8852.000000, 5849.000000, 13288, 864, 296
301, 8789.000000, 8939.000000, 6045.000000, 13448, 957, 299
302, 7457.000000, 7607.000000, 15632.000000, 1079, 898, 299
303, 8742.000000, 8890.000000, 5957.000000, 13315, 894, 296
304, 2607.000000, 2755.000000, 5978.000000, 1064, 914, 296
305, 8850.000000, 9000.000000, 7636.000000, 13517, 1726, 299
306, 2560.000000, 2710.000000, -4294960773.000000, 1088, 1245, 299
307, 2519.000000, 2668.000000, -4294960863.000000, 1095, 1245, 299
308, 7295.000000, 7443.000000, 15270.000000, 1070, 875, 296
309, 8712.000000, 8860.000000, 5921.000000, 13238, 867, 295
310, 2579.000000, 2727.000000, -4294960894.000000, 1127, 1185, 295
311, 8749.000000, 8895.000000, 5991.000000, 13275, 884, 293
312, 2457.000000, 2605.000000, -4294960875.000000, 1070, 1288, 296
313, 2448.000000, 2596.000000, -4294960797.000000, 1060, 1331, 296
314, 2530.000000, 2677.000000, -4294960876.000000, 1070, 1215, 295
315, 7905.000000, 8055.000000, 16445.000000, 1082, 858, 299
316, 2458.000000, 2606.000000, -4294960958.000000, 1089, 1255, 295
317, 8782.000000, 8930.000000, 5933.000000, 13388, 878, 296
318, 2484.000000, 2631.000000, -4294960873.000000, 1067, 1261, 295
319, 2566.000000, 2715.000000, -4294960785.000000, 1089, 1234, 299
320, 8787.000000, 8935.000000, 18196.000000, 1148, 885, 296
321, 2276.000000, 2424.000000, -4294936012.000000, 66, 13399, 296
322, 7551.000000, 7698.000000, 15790.000000, 1080, 884, 295
323, 2489.000000, 2637.000000, -4294960873.000000, 1058, 1251, 295
324, 7605.000000, 7753.000000, 15853.000000, 1086, 864, 296
325, 8685.000000, 8833.000000, 5903.000000, 13190, 861, 295
326, 7460.000000, 7606.000000, 15585.000000, 1089, 877, 293
327, 8657.000000, 8805.000000, 5913.000000, 13124, 861, 296
328, 8574.000000, 8722.000000, 5882.000000, 13043, 888, 295
329, 7594.000000, 7741.000000, 15931.000000, 1060, 901, 293
330, 7452.000000, 7600.000000, 15569.000000, 1070, 867, 296
331, 8614.000000, 8762.000000, 5946.000000, 13024, 871, 296
332, 8558.000000, 8704.000000, 5887.000000, 12980, 875, 292
333, 8463.000000, 8614.000000, 5943.000000, 12706, 861, 302
334, 2648.000000, 2796.000000, 5990.000000, 1089, 891, 296
335, 2570.000000, 2720.000000, -4294960826.000000, 1079, 1204, 299
336, 2516.000000, 2666.000000, -4294960925.000000, 1070, 1204, 299
337, 8749.000000, 8897.000000, 7674.000000, 13288, 1732, 296
338, 2543.000000, 2692.000000, -4294960959.000000, 1079, 1165, 299
339, 2547.000000, 2695.000000, -4294960865.000000, 1067, 1202, 296
340, 8510.000000, 8656.000000, 5876.000000, 12898, 877, 292
341, 7258.000000, 7407.000000, 15212.000000, 1080, 888, 299
342, 2549.000000, 2697.000000, -4294960921.000000, 1073, 1175, 296
343, 2502.000000, 2650.000000, -4294960900.000000, 1066, 1229, 296
344, 8682.000000, 8830.000000, 5861.000000, 13237, 867, 296
345, 8687.000000, 8835.000000, 6006.000000, 13130, 881, 296
346, 8129.000000, 8277.000000, 16937.000000, 1089, 884, 296
347, 8690.000000, 8838.000000, 5943.000000, 13171, 867, 296
348, 8582.000000, 8730.000000, 5870.000000, 13029, 867, 296
349, 8526.000000, 8675.000000, 5939.000000, 12863, 875, 299
350, 8483.000000, 8631.000000, 5958.000000, 12763, 877, 295
351, 8630.000000, 8781.000000, 6093.000000, 13043, 938, 302
352, 7558.000000, 7706.000000, 15782.000000, 1082, 874, 296
353, 8593.000000, 8740.000000, 7624.000000, 12973, 1705, 293
354, 10132.000000, 10280.000000, 20929.000000, 1064, 864, 295
355, 7380.000000, 7528.000000, 15368.000000, 1120, 864, 296
356, 9636.000000, 9786.000000, 19968.000000, 1089, 892, 299
357, 9875.000000, 10023.000000, 20462.000000, 1057, 884, 296
358, 7363.000000, 7511.000000, 15370.000000, 1085, 864, 296
359, 9402.000000, 9552.000000, 19444.000000, 1089, 864, 299
360, 9151.000000, 9301.000000, 18972.000000, 1073, 871, 299
361, 7254.000000, 7402.000000, 15219.000000, 1066, 888, 296
362, 9379.000000, 9527.000000, 19416.000000, 1079, 868, 296
363, 8732.000000, 8883.000000, 5927.000000, 13266, 864, 302
364, 2511.000000, 2661.000000, -4294960944.000000, 1061, 1195, 299
365, 8702.000000, 8850.000000, 5913.000000, 13225, 867, 296
366, 2550.000000, 2697.000000, 6131.000000, 1066, 1048, 293
367, 7451.000000, 7599.000000, 15616.000000, 1054, 884, 296
368, 2512.000000, 2660.000000, -4294961017.000000, 1089, 1172, 296
369, 2498.000000, 2646.000000, -4294958994.000000, 1067, 2186, 296
370, 2522.000000, 2670.000000, -4294960905.000000, 1076, 1211, 296
371, 2497.000000, 2647.000000, -4294960791.000000, 1066, 1288, 299
372, 2493.000000, 2641.000000, -4294960964.000000, 1076, 1211, 296
373, 2493.000000, 2639.000000, -4294960937.000000, 1063, 1218, 293
374, 8752.000000, 8902.000000, 5946.000000, 13281, 861, 299
375, 8716.000000, 8862.000000, 5989.000000, 13205, 881, 293
376, 7201.000000, 7351.000000, 15066.000000, 1073, 868, 299
377, 8585.000000, 8733.000000, 5948.000000, 12985, 881, 296
378, 7238.000000, 7386.000000, 15174.000000, 1085, 891, 296
379, 2498.000000, 2646.000000, -4294960880.000000, 1054, 1237, 296
380, 2492.000000, 2640.000000, -4294960935.000000, 1088, 1232, 296
381, 8667.000000, 8815.000000, 5951.000000, 13146, 881, 295
382, 7213.000000, 7363.000000, 15079.000000, 1082, 867, 299
383, 2476.000000, 2624.000000, -4294960727.000000, 1079, 1348, 296
384, 7248.000000, 7396.000000, 15127.000000, 1092, 861, 296
385, 2283.000000, 2432.000000, -4294935518.000000, 66, 13639, 299
386, 2529.000000, 2677.000000, -4294960915.000000, 1079, 1201, 296
387, 8728.000000, 8878.000000, 5946.000000, 13253, 871, 299
388, 2511.000000, 2659.000000, -4294960961.000000, 1089, 1201, 296
389, 2505.000000, 2655.000000, -4294960876.000000, 1073, 1241, 299
390, 7381.000000, 7529.000000, 15447.000000, 1070, 877, 296
391, 2522.000000, 2670.000000, -4294960922.000000, 1067, 1198, 296
392, 8613.000000, 8764.000000, 5914.000000, 13054, 871, 302
393, 2496.000000, 2643.000000, -4294960865.000000, 1051, 1245, 295
394, 2652.000000, 2802.000000, 6084.000000, 1089, 934, 299
395, 2551.000000, 2699.000000, -4294960921.000000, 1070, 1171, 296
396, 2491.000000, 2640.000000, -4294960989.000000, 1079, 1202, 299
397, 8528.000000, 8677.000000, 5907.000000, 12925, 888, 299
