Timesync, Reply_symmetric-based, Reply_switchdelaybased, Reply_2probebased, inter-packet-switch-arrival,  interpacket_clientdelay, Switch_reply_delay 
355, 8500.000000, 8651.000000, 5087.000000, 12784, 871, 303
356, 8723.000000, 8873.000000, 4973.000000, 13335, 861, 299
357, 7298.000000, 7446.000000, 14423.000000, 1082, 908, 296
358, 8583.000000, 8731.000000, 5096.000000, 12938, 867, 296
359, 9322.000000, 9471.000000, 18422.000000, 1073, 851, 299
360, 9130.000000, 9276.000000, 18140.000000, 1105, 985, 292
361, 9105.000000, 9253.000000, 17995.000000, 1076, 861, 296
362, 9193.000000, 9341.000000, 18290.000000, 1102, 1005, 295
363, 9055.000000, 9202.000000, 18022.000000, 1092, 1004, 295
364, 2614.000000, 2762.000000, -4294949832.000000, 1101, 13336, 296
365, 9501.000000, 9650.000000, 18753.000000, 1104, 855, 299
366, 8127.000000, 8275.000000, 16040.000000, 1083, 868, 296
367, 8711.000000, 8859.000000, 5065.000000, 13224, 867, 296
368, 9294.000000, 9441.000000, 18350.000000, 1092, 854, 295
369, 8762.000000, 8909.000000, 5139.000000, 13240, 854, 293
370, 8941.000000, 9092.000000, 17860.000000, 1057, 1035, 303
371, 9602.000000, 9752.000000, 19118.000000, 1104, 1017, 299
372, 2597.000000, 2745.000000, 5105.000000, 1101, 1011, 296
373, 9133.000000, 9279.000000, 18028.000000, 1089, 851, 292
374, 8848.000000, 8996.000000, 17486.000000, 1104, 894, 296
375, 7389.000000, 7537.000000, -4294951884.000000, 1042, 1675, 296
376, 9312.000000, 9462.000000, 18397.000000, 1079, 851, 299
377, 7541.000000, 7689.000000, 14885.000000, 1092, 895, 296
378, 9329.000000, 9478.000000, 18444.000000, 1083, 868, 298
379, 9308.000000, 9458.000000, 18397.000000, 1091, 871, 299
380, 7460.000000, 7608.000000, 14684.000000, 1091, 854, 296
381, 2845.000000, 2993.000000, 5197.000000, 1535, 1041, 296
382, 9252.000000, 9399.000000, 18428.000000, 1083, 1007, 295
383, 2588.000000, 2736.000000, 5158.000000, 1060, 1041, 296
384, 2564.000000, 2715.000000, 5093.000000, 1060, 1024, 302
385, 9279.000000, 9428.000000, 18328.000000, 1098, 868, 299
386, 7207.000000, 7354.000000, 14158.000000, 1111, 855, 295
387, 8738.000000, 8886.000000, 5045.000000, 13309, 878, 296
388, 7478.000000, 7626.000000, 14416.000000, 1432, 891, 296
389, 8947.000000, 9095.000000, 17695.000000, 1066, 867, 296
390, 8868.000000, 9016.000000, 17545.000000, 1060, 868, 296
391, 9520.000000, 9668.000000, 18787.000000, 1101, 848, 296
392, 2574.000000, 2720.000000, 5043.000000, 1082, 977, 293
393, 9710.000000, 9858.000000, 19170.000000, 1108, 858, 296
394, 2716.000000, 2865.000000, -4294950046.000000, 1070, 12888, 299
395, 9098.000000, 9246.000000, 18136.000000, 1076, 1015, 296
396, 8861.000000, 9009.000000, 17518.000000, 1066, 861, 296
397, 7391.000000, 7538.000000, 14574.000000, 1086, 878, 295
398, 7058.000000, 7206.000000, 13907.000000, 1076, 867, 296
399, 9006.000000, 9154.000000, 17830.000000, 1060, 878, 296
400, 9340.000000, 9487.000000, 18481.000000, 1073, 874, 295
401, 8285.000000, 8433.000000, 5085.000000, 12350, 865, 296
402, 7422.000000, 7570.000000, 14604.000000, 1098, 858, 296
403, 8393.000000, 8541.000000, 5120.000000, 12520, 854, 296
404, 9380.000000, 9528.000000, 18716.000000, 1076, 1031, 296
405, 9126.000000, 9274.000000, 18213.000000, 1070, 1031, 296
406, 9742.000000, 9890.000000, 19343.000000, 1076, 935, 296
407, 8588.000000, 8736.000000, 5089.000000, 12948, 861, 296
408, 7786.000000, 7936.000000, 15339.000000, 1082, 848, 299
409, 9008.000000, 9157.000000, 17812.000000, 1088, 884, 299
