Timesync, Reply_symmetric-based, Reply_switchdelaybased, Reply_2probebased, inter-packet-switch-arrival,  interpacket_clientdelay, Switch_reply_delay 
234, 7418.000000, 7566.000000, -4294951205.000000, 1048, 1151, 296
235, 7205.000000, 7352.000000, -4294951704.000000, 1066, 1124, 294
236, 8043.000000, 8190.000000, 6262.000000, 12066, 1121, 294
237, 2518.000000, 2665.000000, -4294960945.000000, 1082, 1198, 294
238, 8346.000000, 8491.000000, 6281.000000, 12702, 1145, 290
239, 8483.000000, 8629.000000, 6293.000000, 13049, 1188, 293
240, 8242.000000, 8388.000000, 6209.000000, 12545, 1135, 293
241, 7110.000000, 7256.000000, -4294949868.000000, 1058, 2133, 293
242, 2517.000000, 2664.000000, -4294960664.000000, 1066, 1332, 294
243, 7137.000000, 7283.000000, 15019.000000, 1057, 901, 293
244, 2419.000000, 2569.000000, -4294960434.000000, 1240, 1632, 300
245, 2431.000000, 2578.000000, -4294960638.000000, 1083, 1439, 293
246, 2563.000000, 2710.000000, -4294960613.000000, 1088, 1322, 294
247, 6959.000000, 7105.000000, 14753.000000, 1067, 951, 293
248, 2418.000000, 2567.000000, -4294960797.000000, 1088, 1375, 297
249, 8571.000000, 8718.000000, 6042.000000, 12850, 875, 294
250, 7053.000000, 7199.000000, 14909.000000, 1079, 941, 293
251, 2453.000000, 2598.000000, -4294960741.000000, 1067, 1358, 290
252, 8631.000000, 8778.000000, 5882.000000, 13130, 875, 294
253, 8479.000000, 8626.000000, 5864.000000, 12816, 861, 294
254, 8595.000000, 8741.000000, 6001.000000, 13083, 947, 293
255, 8734.000000, 8881.000000, 6043.000000, 13181, 878, 294
256, 7544.000000, 7691.000000, 15908.000000, 1070, 945, 294
257, 2474.000000, 2622.000000, -4294946664.000000, 13250, 14467, 296
258, 7371.000000, 7518.000000, 15565.000000, 1085, 954, 294
259, 8581.000000, 8727.000000, 5963.000000, 12922, 861, 291
260, 8519.000000, 8664.000000, 5980.000000, 12961, 951, 290
261, 8524.000000, 8671.000000, 6065.000000, 12872, 944, 294
262, 7249.000000, 7398.000000, 15176.000000, 1051, 864, 297
263, 8689.000000, 8835.000000, 5911.000000, 13197, 865, 293
264, 7315.000000, 7464.000000, 15514.000000, 1079, 981, 297
265, 7615.000000, 7762.000000, 15870.000000, 1082, 861, 294
266, 7448.000000, 7593.000000, 15578.000000, 1086, 884, 290
267, 8767.000000, 8913.000000, 5951.000000, 13313, 865, 293
268, 7240.000000, 7387.000000, 15123.000000, 1085, 864, 294
269, 7274.000000, 7421.000000, 15286.000000, 1070, 904, 294
270, 8799.000000, 8948.000000, 6050.000000, 13445, 948, 297
271, 8599.000000, 8745.000000, 5900.000000, 13020, 861, 293
272, 7244.000000, 7390.000000, 15156.000000, 1082, 875, 293
273, 2274.000000, 2419.000000, -4294934795.000000, 73, 14013, 290
274, 8445.000000, 8592.000000, 17580.000000, 1066, 878, 294
275, 7223.000000, 7370.000000, 15169.000000, 1073, 898, 294
276, 2631.000000, 2778.000000, 6008.000000, 1063, 904, 294
277, 7426.000000, 7573.000000, 15644.000000, 1079, 935, 294
278, 7715.000000, 7862.000000, 16151.000000, 1076, 898, 293
279, 8700.000000, 8847.000000, 5923.000000, 13234, 878, 293
280, 8358.000000, 8505.000000, 6010.000000, 12642, 968, 294
281, 6965.000000, 7112.000000, 14769.000000, 1063, 951, 294
282, 7131.000000, 7276.000000, 15077.000000, 1067, 941, 290
283, 8795.000000, 8941.000000, 5947.000000, 13385, 871, 293
284, 8779.000000, 8924.000000, 6015.000000, 13480, 968, 290
285, 7537.000000, 7683.000000, 15922.000000, 1080, 964, 293
286, 8677.000000, 8824.000000, 6039.000000, 13199, 942, 294
287, 8824.000000, 8972.000000, 6035.000000, 13489, 938, 296
288, 8480.000000, 8626.000000, 5986.000000, 12850, 938, 293
289, 8605.000000, 8752.000000, 8027.000000, 13162, 1989, 293
290, 7481.000000, 7628.000000, 15614.000000, 1085, 868, 294
291, 8700.000000, 8846.000000, 5937.000000, 13191, 864, 293
292, 8763.000000, 8909.000000, 5975.000000, 13454, 951, 291
293, 8475.000000, 8623.000000, 17801.000000, 1051, 951, 296
294, 8707.000000, 8853.000000, 6038.000000, 13272, 948, 293
295, 7288.000000, 7435.000000, 15362.000000, 1077, 931, 293
296, 7230.000000, 7379.000000, 15272.000000, 1085, 948, 297
297, 8823.000000, 8970.000000, 5993.000000, 13376, 861, 293
298, 7144.000000, 7292.000000, 15155.000000, 1070, 968, 296
299, 8487.000000, 8633.000000, 6015.000000, 12835, 938, 293
